event_day   staff_role  required_staff
----------  ----------  --------------
2016-07-01  security    6
2016-07-01  support     3
2016-07-02  security    6
2016-07-02  support     3
2016-07-03  security    6
2016-07-03  support     3
2016-07-04  security    6
2016-07-04  support     3
2017-07-01  security    5
2017-07-01  support     2
2017-07-02  security    5
2017-07-02  support     2
2017-07-03  security    5
2017-07-03  support     2
2017-07-04  security    5
2017-07-04  support     2
2017-07-05  security    5
2017-07-05  support     2
2018-07-01  security    5
2018-07-01  support     2
2018-07-02  security    5
2018-07-02  support     2
2018-07-03  security    5
2018-07-03  support     2
2018-07-04  security    5
2018-07-04  support     2
2018-07-05  security    5
2018-07-05  support     2
2019-07-01  security    6
2019-07-01  support     3
2019-07-02  security    6
2019-07-02  support     3
2019-07-03  security    6
2019-07-03  support     3
2019-07-04  security    6
2019-07-04  support     3
2020-07-01  security    6
2020-07-01  support     3
2020-07-02  security    6
2020-07-02  support     3
2020-07-03  security    6
2020-07-03  support     3
2020-07-04  security    6
2020-07-04  support     3
2021-07-01  security    5
2021-07-01  support     2
2021-07-02  security    5
2021-07-02  support     2
2021-07-03  security    5
2021-07-03  support     2
2021-07-04  security    5
2021-07-04  support     2
2021-07-05  security    5
2021-07-05  support     2
2021-07-06  security    5
2021-07-06  support     2
2022-07-01  security    5
2022-07-01  support     2
2022-07-02  security    5
2022-07-02  support     2
2022-07-03  security    5
2022-07-03  support     2
2022-07-04  security    5
2022-07-04  support     2
2022-07-05  security    5
2022-07-05  support     2
2023-07-01  security    5
2023-07-01  support     2
2023-07-02  security    5
2023-07-02  support     2
2023-07-03  security    5
2023-07-03  support     2
2023-07-04  security    5
2023-07-04  support     2
2023-07-05  security    5
2023-07-05  support     2
2023-07-06  security    5
2023-07-06  support     2
2024-07-01  security    5
2024-07-01  support     2
2024-07-02  security    5
2024-07-02  support     2
2024-07-03  security    5
2024-07-03  support     2
2024-07-04  security    5
2024-07-04  support     2
2025-03-01  security    6
2025-03-01  support     3
2025-03-02  security    6
2025-03-02  support     3
2025-03-03  security    6
2025-03-03  support     3
2025-03-04  security    6
2025-03-04  support     3
2025-03-05  security    6
2025-03-05  support     3
2026-07-01  security    5
2026-07-01  support     2
2026-07-02  security    5
2026-07-02  support     2
2026-07-03  security    5
2026-07-03  support     2
2026-07-04  security    5
2026-07-04  support     2
2026-07-05  security    5
2026-07-05  support     2
2026-07-06  security    5
2026-07-06  support     2
2027-07-01  security    5
2027-07-01  support     2
2027-07-02  security    5
2027-07-02  support     2
2027-07-03  security    5
2027-07-03  support     2
2027-07-04  security    5
2027-07-04  support     2
